report_date,jurisdiction,value,vaccinations
2020-12-17,Adair,completed,1
2020-12-18,Adair,initiated,1
2020-12-21,Adair,initiated,142
2020-12-21,Adair,completed,1
2020-12-22,Adair,initiated,1
2020-12-23,Adair,initiated,107
2020-12-23,Adair,completed,3
2020-12-24,Adair,initiated,1
2020-12-28,Adair,initiated,2
2020-12-30,Adair,completed,1
2020-12-31,Adair,initiated,3
2021-01-01,Adair,completed,1
2021-01-04,Adair,completed,6
2021-01-05,Adair,completed,2
2021-01-06,Adair,completed,8
2021-01-07,Adair,completed,6
2021-01-08,Adair,completed,8
2021-01-09,Adair,completed,3
2021-01-10,Adair,completed,2
2021-01-11,Adair,initiated,4
2021-01-11,Adair,completed,460
2021-01-12,Adair,initiated,1
2021-01-12,Adair,completed,7
2021-01-13,Adair,initiated,5
2021-01-13,Adair,completed,390
2021-01-14,Adair,initiated,17
2021-01-14,Adair,completed,5
2021-01-15,Adair,initiated,6
2021-01-15,Adair,completed,4
2021-01-18,Adair,completed,8
2021-01-19,Adair,initiated,1
2021-01-19,Adair,completed,11
2021-01-20,Adair,initiated,3
2021-01-20,Adair,completed,7
2021-01-21,Adair,initiated,1
2021-01-21,Adair,completed,5
2021-01-22,Adair,initiated,3
2021-01-22,Adair,completed,5
2021-01-23,Adair,completed,1
2021-01-24,Adair,completed,2
2021-01-25,Adair,completed,11
2021-01-26,Adair,initiated,1
2021-01-26,Adair,completed,9
2021-01-27,Adair,initiated,201
2021-01-27,Adair,completed,18
2021-01-28,Adair,initiated,19
2021-01-28,Adair,completed,6
2021-01-29,Adair,initiated,17
2021-01-29,Adair,completed,7
2021-01-30,Adair,completed,1
2021-02-01,Adair,completed,3
2021-02-02,Adair,initiated,4
2021-02-02,Adair,completed,4
2021-02-03,Adair,initiated,5
2021-02-03,Adair,completed,8
2021-02-04,Adair,initiated,11
2021-02-04,Adair,completed,6
2021-02-05,Adair,initiated,19
2021-02-05,Adair,completed,76
2021-02-06,Adair,initiated,8
2021-02-06,Adair,completed,15
2021-02-08,Adair,initiated,15
2021-02-08,Adair,completed,77
