report_date,geoid,value,initiated,initiated_rate,completed,completed_rate
2021-08-11,29,Asian,61353,52564.25633995888,53008,45414.66758053461
2021-08-11,29,Black,222878,31618.56500817142,177980,25249.114763028872
2021-08-11,29,Latino,119116,47817.586961321525,95858,38480.96184339937
2021-08-11,29,Native,4811,17850.252300385873,3705,13746.660730186999
2021-08-11,29,Other Race,77034,NA,60675,NA
2021-08-11,29,Pacific Islander,2769,41564.094866406485,2026,30411.28790153107
2021-08-11,29,Two or More,149763,96417.25896168109,132722,85446.28141738773
2021-08-11,29,"Unknown, Ethnicity",434109,NA,358700,NA
2021-08-11,29,"Unknown, Race",336566,NA,287190,NA
2021-08-11,29,White,1860917,37156.3483484155,1614124,32228.709620868547
