zip,count
60000,40
60001,7
60002,2754
60004,5196
60005,3341
60006,19
60007,3859
60008,3059
60009,23
60010,4367
60011,13
60012,1273
60013,2674
60014,5760
60015,2496
60016,8160
60017,18
60018,4345
60019,12
60020,1229
60021,542
60022,655
60025,4278
60026,1343
60029,56
60030,3677
60031,4218
60033,1926
60034,234
60035,2385
60036,9
60038,10
60039,9
60040,736
60041,1119
60042,949
60043,240
60044,978
60045,1836
60046,4037
60047,4319
60048,2704
60050,4128
60051,3043
60053,2906
60055,14
60056,6396
60057,8
60060,4424
60061,2392
60062,4155
60063,10
60064,3486
60065,14
60067,4403
60068,4628
60069,810
60070,1826
60071,429
60072,109
60073,8937
60074,4466
60075,19
60076,4064
60077,3289
60078,15
60079,56
60081,1173
60082,18
60083,1151
60084,1901
60085,11398
60086,15
60087,4354
60088,878
60089,3736
60090,5036
60091,2267
60093,2032
60094,6
60095,8
60096,795
60097,1259
60098,4244
60099,4584
60101,6074
60102,3714
60103,5535
60104,2988
60105,14
60106,2896
60107,5541
60108,3346
60109,83
60110,5652
60111,27
60112,621
60113,51
60115,5505
60116,14
60118,1809
60119,1328
60120,7679
60121,34
60123,6857
60124,3091
60125,9
60126,5937
60129,28
60130,1539
60131,3063
60133,5773
60134,3353
60135,1017
60136,1154
60137,4387
60138,17
60139,4915
60140,2796
60141,87
60142,3275
60143,1578
60144,15
60145,286
60146,360
60147,19
60148,6295
60150,175
60151,440
60152,1521
60153,3294
60154,2104
60155,1085
60156,3438
60157,317
60159,53
60160,4185
60161,15
60162,1704
60163,756
60164,3740
60165,821
60168,23
60169,3851
60170,7
60171,1525
60172,3191
60173,1311
60174,4019
60175,3320
60176,1822
60177,3549
60178,2665
60180,177
60181,3722
60183,12
60184,302
60185,5539
60186,13
60187,3288
60188,5849
60189,3247
60190,1493
60191,2146
60192,1425
60193,4282
60194,2146
60195,450
60196,10
60201,3471
60202,2624
60203,358
60204,12
60208,18
60301,267
60302,2598
60303,21
60304,1344
60305,1023
60401,1133
60402,9959
60403,2367
60404,2808
60406,3656
60407,198
60408,827
60409,4834
60410,1997
60411,7613
60412,15
60415,1671
60416,1470
60417,1920
60418,1277
60419,2916
60420,748
60421,487
60422,1093
60423,4726
60424,308
60425,1237
60426,3599
60428,1605
60429,2020
60430,2320
60431,4220
60432,3220
60433,2496
60434,511
60435,7138
60436,2742
60437,29
60438,4240
60439,3197
60440,7395
60441,4763
60442,1768
60443,2619
60444,233
60445,2533
60446,6072
60447,2169
60448,3480
60449,1131
60450,3153
60451,4985
60452,3779
60453,7455
60454,28
60455,2292
60456,508
60457,1720
60458,1833
60459,4164
60460,221
60461,470
60462,5084
60463,2035
60464,1160
60465,2344
60466,2899
60467,3269
60468,921
60469,943
60470,72
60471,1609
60472,566
60473,3194
60474,120
60475,1185
60476,320
60477,4850
60478,2221
60479,82
60480,691
