zip,count
64101,7
64102,26
64105,455
64106,614
64108,736
64109,527
64110,882
64111,1144
64112,549
64113,523
64114,1256
64116,833
64117,860
64118,1514
64119,1276
64120,55
64123,884
64124,984
64125,173
64126,484
64127,1110
64128,630
64129,442
64130,1166
64131,1229
64132,764
64133,950
64134,1220
64136,132
64137,678
64138,685
64139,212
64145,319
64146,71
64147,20
64149,18
64151,1319
64152,484
64153,387
64154,914
64155,1740
64156,466
64157,1440
64158,422
64161,12
64163,20
64164,5
64165,8
64166,12
64167,15
