report_date,geoid,county,state,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-05-09,29001,Adair,Missouri,8087,319.3287265547878,7236,285.72556762092796,310,12.240868706811451
2021-05-09,29003,Andrew,Missouri,4308,247.54352697810722,3890,223.5246796529334,197,11.319887375739816
2021-05-09,29005,Atchison,Missouri,1966,373.0550284629981,1752,332.44781783681213,41,7.7798861480075905
2021-05-09,29007,Audrain,Missouri,6701,260.3846901107441,5354,208.04352049737713,495,19.23450553720614
2021-05-09,29009,Barry,Missouri,10106,284.73220071563406,8476,238.80765221311245,600,16.90474178006931
2021-05-09,29011,Barton,Missouri,2455,207.17299578059072,2090,176.37130801687763,87,7.341772151898734
2021-05-09,29013,Bates,Missouri,3979,243.0072065469647,3461,211.3716868205692,344,21.008916575058016
2021-05-09,29015,Benton,Missouri,6405,337.30054241929537,5576,293.64368845120856,172,9.057875612196534
2021-05-09,29017,Bollinger,Missouri,2786,226.854490676655,2287,186.2226203077925,127,10.341177428548164
2021-05-09,29019,Boone,Missouri,81188,459.9495793558621,68803,389.78557063139107,6718,38.059088462736874
2021-05-09,29021,Buchanan,Missouri,16794,188.53563249360099,15066,169.13646773541694,1235,13.86456509048453
2021-05-09,29023,Butler,Missouri,8564,200.40717946317835,7044,164.83747923150727,446,10.436898883766643
2021-05-09,29025,Caldwell,Missouri,2228,246.21505138689358,1837,203.00585700077357,130,14.366228312520722
2021-05-09,29027,Callaway,Missouri,13582,302.8991971454059,11641,259.6119536128457,950,21.1864406779661
2021-05-09,29029,Camden,Missouri,14617,324.13074330317545,12591,279.2043640234167,803,17.806457335462124
2021-05-09,29031,Cape Girardeau,Missouri,26593,339.52556049231396,22940,292.88596088044534,1582,20.198151269087383
2021-05-09,29033,Carroll,Missouri,2787,315.1645369218591,2476,279.9954766481963,96,10.856044328847677
2021-05-09,29035,Carter,Missouri,1258,203.0014523156366,1002,161.69114087461676,44,7.1002097789252865
2021-05-09,29037,Cass,Missouri,31706,309.20013262858146,26882,262.1559946168399,2698,26.311170057147315
2021-05-09,29039,Cedar,Missouri,3209,230.23389295451284,2661,190.91691777873442,95,6.815898981202468
2021-05-09,29041,Chariton,Missouri,1911,253.24675324675323,1636,216.80360455870658,51,6.758547574874105
