Date Administered	Jurisdiction	Ethnicity	COVID-19 Doses Administered
10/11/2021	Adair	Unknown	2
10/9/2021	Adair	Unknown	1
10/5/2021	Adair	Unknown	1
10/1/2021	Adair	Unknown	1
9/30/2021	Adair	Unknown	3
9/28/2021	Adair	Unknown	1
9/26/2021	Adair	Unknown	1
9/24/2021	Adair	Unknown	4
9/23/2021	Adair	Unknown	2
9/22/2021	Adair	Unknown	1
9/21/2021	Adair	Unknown	3
9/19/2021	Adair	Unknown	2
9/18/2021	Adair	Unknown	3
9/16/2021	Adair	Unknown	2
9/15/2021	Adair	Unknown	1
9/13/2021	Adair	Unknown	3
9/11/2021	Adair	Unknown	1
9/9/2021	Adair	Unknown	5
9/8/2021	Adair	Unknown	1
9/7/2021	Adair	Unknown	3
9/6/2021	Adair	Unknown	2
9/5/2021	Adair	Unknown	1
9/4/2021	Adair	Unknown	1
9/3/2021	Adair	Unknown	15
9/1/2021	Adair	Unknown	2
8/31/2021	Adair	Unknown	9
8/30/2021	Adair	Unknown	1
8/29/2021	Adair	Unknown	1
8/28/2021	Adair	Unknown	1
8/27/2021	Adair	Unknown	6
8/26/2021	Adair	Unknown	2
8/25/2021	Adair	Unknown	3
8/24/2021	Adair	Unknown	3
8/23/2021	Adair	Unknown	3
8/22/2021	Adair	Unknown	1
8/21/2021	Adair	Unknown	2
8/20/2021	Adair	Unknown	3
8/19/2021	Adair	Unknown	2
8/17/2021	Adair	Unknown	2
8/16/2021	Adair	Unknown	1
8/15/2021	Adair	Unknown	2
8/14/2021	Adair	Unknown	1
8/13/2021	Adair	Unknown	2
8/12/2021	Adair	Unknown	2
8/10/2021	Adair	Unknown	3
8/9/2021	Adair	Unknown	1
8/7/2021	Adair	Unknown	1
8/6/2021	Adair	Unknown	1
8/4/2021	Adair	Unknown	1
8/3/2021	Adair	Unknown	2
8/2/2021	Adair	Unknown	3
7/30/2021	Adair	Unknown	2
7/29/2021	Adair	Unknown	9
7/28/2021	Adair	Unknown	1
7/27/2021	Adair	Unknown	1
7/26/2021	Adair	Unknown	2
7/24/2021	Adair	Unknown	2
7/23/2021	Adair	Unknown	3
7/22/2021	Adair	Unknown	2
7/21/2021	Adair	Unknown	2
7/20/2021	Adair	Unknown	1
7/19/2021	Adair	Unknown	2
7/15/2021	Adair	Unknown	1
7/14/2021	Adair	Unknown	1
7/13/2021	Adair	Unknown	1
7/12/2021	Adair	Unknown	1
7/9/2021	Adair	Unknown	1
7/8/2021	Adair	Unknown	1
7/7/2021	Adair	Unknown	4
7/6/2021	Adair	Unknown	4
7/3/2021	Adair	Unknown	1
7/2/2021	Adair	Unknown	1
7/1/2021	Adair	Unknown	2
6/30/2021	Adair	Unknown	4
6/29/2021	Adair	Unknown	4
6/28/2021	Adair	Unknown	3
6/27/2021	Adair	Unknown	1
6/26/2021	Adair	Unknown	1
6/24/2021	Adair	Unknown	1
6/23/2021	Adair	Unknown	1
6/22/2021	Adair	Unknown	6
6/20/2021	Adair	Unknown	1
6/18/2021	Adair	Unknown	2
6/17/2021	Adair	Unknown	1
6/16/2021	Adair	Unknown	2
6/15/2021	Adair	Unknown	5
6/14/2021	Adair	Unknown	2
6/13/2021	Adair	Unknown	1
6/12/2021	Adair	Unknown	1
6/11/2021	Adair	Unknown	1
6/9/2021	Adair	Unknown	1
6/8/2021	Adair	Unknown	1
6/7/2021	Adair	Unknown	2
6/3/2021	Adair	Unknown	2
6/2/2021	Adair	Unknown	9
6/1/2021	Adair	Unknown	2
5/31/2021	Adair	Unknown	1
5/28/2021	Adair	Unknown	5
5/26/2021	Adair	Unknown	6
5/25/2021	Adair	Unknown	2
5/24/2021	Adair	Unknown	3
5/21/2021	Adair	Unknown	10
5/20/2021	Adair	Unknown	3
5/19/2021	Adair	Unknown	2
5/18/2021	Adair	Unknown	2
5/17/2021	Adair	Unknown	1
5/15/2021	Adair	Unknown	1
5/13/2021	Adair	Unknown	26
5/12/2021	Adair	Unknown	1
5/11/2021	Adair	Unknown	3
5/10/2021	Adair	Unknown	4
5/8/2021	Adair	Unknown	2
5/7/2021	Adair	Unknown	2
5/6/2021	Adair	Unknown	1
5/5/2021	Adair	Unknown	2
5/4/2021	Adair	Unknown	1
5/3/2021	Adair	Unknown	2
5/1/2021	Adair	Unknown	2
4/30/2021	Adair	Unknown	2
4/29/2021	Adair	Unknown	2
4/28/2021	Adair	Unknown	8
4/27/2021	Adair	Unknown	1
4/26/2021	Adair	Unknown	7
4/24/2021	Adair	Unknown	2
4/23/2021	Adair	Unknown	18
4/22/2021	Adair	Unknown	3
4/21/2021	Adair	Unknown	26
4/20/2021	Adair	Unknown	14
4/19/2021	Adair	Unknown	2
4/18/2021	Adair	Unknown	1
4/17/2021	Adair	Unknown	1
4/16/2021	Adair	Unknown	36
4/15/2021	Adair	Unknown	3
4/14/2021	Adair	Unknown	10
4/13/2021	Adair	Unknown	28
4/12/2021	Adair	Unknown	2
4/11/2021	Adair	Unknown	1
4/10/2021	Adair	Unknown	8
4/9/2021	Adair	Unknown	11
4/8/2021	Adair	Unknown	24
4/7/2021	Adair	Unknown	9
4/6/2021	Adair	Unknown	17
4/5/2021	Adair	Unknown	12
4/3/2021	Adair	Unknown	2
4/2/2021	Adair	Unknown	51
4/1/2021	Adair	Unknown	7
3/31/2021	Adair	Unknown	5
3/30/2021	Adair	Unknown	17
3/29/2021	Adair	Unknown	1
3/27/2021	Adair	Unknown	5
3/26/2021	Adair	Unknown	11
3/25/2021	Adair	Unknown	512
3/24/2021	Adair	Unknown	2
3/23/2021	Adair	Unknown	4
3/22/2021	Adair	Unknown	8
3/21/2021	Adair	Unknown	1
3/20/2021	Adair	Unknown	1
3/19/2021	Adair	Unknown	13
3/18/2021	Adair	Unknown	14
3/17/2021	Adair	Unknown	14
3/16/2021	Adair	Unknown	9
3/15/2021	Adair	Unknown	2
3/12/2021	Adair	Unknown	38
3/11/2021	Adair	Unknown	3
3/10/2021	Adair	Unknown	4
3/9/2021	Adair	Unknown	4
3/8/2021	Adair	Unknown	10
3/6/2021	Adair	Unknown	4
3/5/2021	Adair	Unknown	11
3/4/2021	Adair	Unknown	4
3/3/2021	Adair	Unknown	1
3/2/2021	Adair	Unknown	14
3/1/2021	Adair	Unknown	9
2/26/2021	Adair	Unknown	18
2/25/2021	Adair	Unknown	1
2/24/2021	Adair	Unknown	221
2/23/2021	Adair	Unknown	3
2/22/2021	Adair	Unknown	36
2/21/2021	Adair	Unknown	1
2/19/2021	Adair	Unknown	18
2/18/2021	Adair	Unknown	1
2/17/2021	Adair	Unknown	9
2/16/2021	Adair	Unknown	2
2/12/2021	Adair	Unknown	5
2/11/2021	Adair	Unknown	35
2/10/2021	Adair	Unknown	7
2/9/2021	Adair	Unknown	2
2/8/2021	Adair	Unknown	16
2/6/2021	Adair	Unknown	1
2/5/2021	Adair	Unknown	30
2/3/2021	Adair	Unknown	1
1/28/2021	Adair	Unknown	1
1/27/2021	Adair	Unknown	5
1/26/2021	Adair	Unknown	1
1/25/2021	Adair	Unknown	1
1/20/2021	Adair	Unknown	2
1/19/2021	Adair	Unknown	2
1/15/2021	Adair	Unknown	1
1/13/2021	Adair	Unknown	116
1/11/2021	Adair	Unknown	132
10/11/2021	Adair	Not Hispanic or Latino	1
10/9/2021	Adair	Not Hispanic or Latino	5
10/8/2021	Adair	Not Hispanic or Latino	5
10/7/2021	Adair	Not Hispanic or Latino	4
10/6/2021	Adair	Not Hispanic or Latino	10
10/5/2021	Adair	Not Hispanic or Latino	8
10/4/2021	Adair	Not Hispanic or Latino	8
10/3/2021	Adair	Not Hispanic or Latino	5
10/2/2021	Adair	Not Hispanic or Latino	12
10/1/2021	Adair	Not Hispanic or Latino	19
9/30/2021	Adair	Not Hispanic or Latino	12
9/29/2021	Adair	Not Hispanic or Latino	10
9/28/2021	Adair	Not Hispanic or Latino	13
9/27/2021	Adair	Not Hispanic or Latino	7
9/25/2021	Adair	Not Hispanic or Latino	7
9/24/2021	Adair	Not Hispanic or Latino	23
9/23/2021	Adair	Not Hispanic or Latino	9
9/22/2021	Adair	Not Hispanic or Latino	6
9/21/2021	Adair	Not Hispanic or Latino	13
9/20/2021	Adair	Not Hispanic or Latino	17
9/19/2021	Adair	Not Hispanic or Latino	4
9/18/2021	Adair	Not Hispanic or Latino	21
9/17/2021	Adair	Not Hispanic or Latino	16
9/16/2021	Adair	Not Hispanic or Latino	22
9/15/2021	Adair	Not Hispanic or Latino	10
9/14/2021	Adair	Not Hispanic or Latino	11
9/13/2021	Adair	Not Hispanic or Latino	15
9/12/2021	Adair	Not Hispanic or Latino	5
9/11/2021	Adair	Not Hispanic or Latino	12
9/10/2021	Adair	Not Hispanic or Latino	20
9/9/2021	Adair	Not Hispanic or Latino	13
9/8/2021	Adair	Not Hispanic or Latino	12
9/7/2021	Adair	Not Hispanic or Latino	20
9/6/2021	Adair	Not Hispanic or Latino	14
9/5/2021	Adair	Not Hispanic or Latino	6
9/4/2021	Adair	Not Hispanic or Latino	11
9/3/2021	Adair	Not Hispanic or Latino	63
9/2/2021	Adair	Not Hispanic or Latino	15
9/1/2021	Adair	Not Hispanic or Latino	11
8/31/2021	Adair	Not Hispanic or Latino	35
8/30/2021	Adair	Not Hispanic or Latino	21
8/29/2021	Adair	Not Hispanic or Latino	18
8/28/2021	Adair	Not Hispanic or Latino	21
8/27/2021	Adair	Not Hispanic or Latino	41
8/26/2021	Adair	Not Hispanic or Latino	12
8/25/2021	Adair	Not Hispanic or Latino	15
8/24/2021	Adair	Not Hispanic or Latino	13
8/23/2021	Adair	Not Hispanic or Latino	14
8/22/2021	Adair	Not Hispanic or Latino	16
8/21/2021	Adair	Not Hispanic or Latino	10
8/20/2021	Adair	Not Hispanic or Latino	30
8/19/2021	Adair	Not Hispanic or Latino	15
8/18/2021	Adair	Not Hispanic or Latino	18
8/17/2021	Adair	Not Hispanic or Latino	19
8/16/2021	Adair	Not Hispanic or Latino	21
8/15/2021	Adair	Not Hispanic or Latino	6
8/14/2021	Adair	Not Hispanic or Latino	4
8/13/2021	Adair	Not Hispanic or Latino	28
8/12/2021	Adair	Not Hispanic or Latino	14
8/11/2021	Adair	Not Hispanic or Latino	12
8/10/2021	Adair	Not Hispanic or Latino	26
8/9/2021	Adair	Not Hispanic or Latino	8
8/8/2021	Adair	Not Hispanic or Latino	10
