Date Administered	Jurisdiction	Race	COVID-19 Doses Administered
12/7/2021	Adair	White	5
12/6/2021	Adair	White	10
12/5/2021	Adair	White	2
12/4/2021	Adair	White	23
12/3/2021	Adair	White	10
12/2/2021	Adair	White	14
12/1/2021	Adair	White	12
11/30/2021	Adair	White	12
11/29/2021	Adair	White	14
11/28/2021	Adair	White	5
11/27/2021	Adair	White	18
11/26/2021	Adair	White	6
11/24/2021	Adair	White	3
11/23/2021	Adair	White	5
11/22/2021	Adair	White	8
11/21/2021	Adair	White	1
11/20/2021	Adair	White	3
11/19/2021	Adair	White	2
11/18/2021	Adair	White	11
11/17/2021	Adair	White	6
11/16/2021	Adair	White	7
11/15/2021	Adair	White	5
11/14/2021	Adair	White	5
11/13/2021	Adair	White	4
11/12/2021	Adair	White	8
11/11/2021	Adair	White	8
11/10/2021	Adair	White	9
11/9/2021	Adair	White	5
11/8/2021	Adair	White	4
11/6/2021	Adair	White	3
11/5/2021	Adair	White	12
11/4/2021	Adair	White	10
11/3/2021	Adair	White	4
11/2/2021	Adair	White	3
11/1/2021	Adair	White	6
10/31/2021	Adair	White	3
10/30/2021	Adair	White	2
10/29/2021	Adair	White	3
10/28/2021	Adair	White	5
10/27/2021	Adair	White	4
10/26/2021	Adair	White	4
10/25/2021	Adair	White	8
10/23/2021	Adair	White	3
10/22/2021	Adair	White	4
10/21/2021	Adair	White	8
10/20/2021	Adair	White	2
10/19/2021	Adair	White	4
10/18/2021	Adair	White	6
10/17/2021	Adair	White	7
10/16/2021	Adair	White	1
10/15/2021	Adair	White	5
10/14/2021	Adair	White	5
10/13/2021	Adair	White	7
10/12/2021	Adair	White	7
10/11/2021	Adair	White	10
10/10/2021	Adair	White	2
10/9/2021	Adair	White	6
10/8/2021	Adair	White	5
10/7/2021	Adair	White	4
10/6/2021	Adair	White	10
10/5/2021	Adair	White	6
10/4/2021	Adair	White	11
10/3/2021	Adair	White	4
10/2/2021	Adair	White	12
10/1/2021	Adair	White	14
9/30/2021	Adair	White	11
9/29/2021	Adair	White	10
9/28/2021	Adair	White	13
9/27/2021	Adair	White	9
9/25/2021	Adair	White	6
9/24/2021	Adair	White	21
9/23/2021	Adair	White	9
9/22/2021	Adair	White	7
9/21/2021	Adair	White	14
9/20/2021	Adair	White	13
9/19/2021	Adair	White	4
9/18/2021	Adair	White	16
9/17/2021	Adair	White	15
9/16/2021	Adair	White	20
9/15/2021	Adair	White	7
9/14/2021	Adair	White	10
9/13/2021	Adair	White	15
9/12/2021	Adair	White	2
9/11/2021	Adair	White	10
9/10/2021	Adair	White	18
9/9/2021	Adair	White	15
9/8/2021	Adair	White	13
9/7/2021	Adair	White	15
9/6/2021	Adair	White	11
9/5/2021	Adair	White	6
9/4/2021	Adair	White	9
9/3/2021	Adair	White	44
9/2/2021	Adair	White	14
9/1/2021	Adair	White	10
8/31/2021	Adair	White	34
8/30/2021	Adair	White	21
8/29/2021	Adair	White	18
8/28/2021	Adair	White	21
8/27/2021	Adair	White	40
8/26/2021	Adair	White	12
8/25/2021	Adair	White	13
8/24/2021	Adair	White	13
8/23/2021	Adair	White	11
8/22/2021	Adair	White	15
8/21/2021	Adair	White	8
8/20/2021	Adair	White	29
8/19/2021	Adair	White	14
8/18/2021	Adair	White	18
8/17/2021	Adair	White	19
8/16/2021	Adair	White	17
8/15/2021	Adair	White	8
8/14/2021	Adair	White	4
8/13/2021	Adair	White	24
8/12/2021	Adair	White	12
8/11/2021	Adair	White	12
8/10/2021	Adair	White	23
8/9/2021	Adair	White	8
8/8/2021	Adair	White	10
8/7/2021	Adair	White	7
8/6/2021	Adair	White	7
8/5/2021	Adair	White	12
8/4/2021	Adair	White	16
