Date Administered	Jurisdiction	Race	COVID-19 Doses Administered
8/10/2021	Adair	White	4
8/9/2021	Adair	White	2
8/8/2021	Adair	White	8
8/7/2021	Adair	White	10
8/6/2021	Adair	White	34
8/5/2021	Adair	White	22
8/4/2021	Adair	White	16
8/3/2021	Adair	White	20
8/2/2021	Adair	White	28
8/1/2021	Adair	White	7
7/31/2021	Adair	White	11
7/30/2021	Adair	White	25
7/29/2021	Adair	White	26
7/28/2021	Adair	White	21
7/27/2021	Adair	White	22
7/26/2021	Adair	White	23
7/25/2021	Adair	White	6
7/24/2021	Adair	White	17
7/23/2021	Adair	White	33
7/22/2021	Adair	White	24
7/21/2021	Adair	White	17
7/20/2021	Adair	White	11
7/19/2021	Adair	White	23
7/18/2021	Adair	White	8
7/17/2021	Adair	White	8
7/16/2021	Adair	White	23
7/15/2021	Adair	White	14
7/14/2021	Adair	White	16
7/13/2021	Adair	White	9
7/12/2021	Adair	White	11
7/10/2021	Adair	White	15
7/9/2021	Adair	White	9
7/8/2021	Adair	White	27
7/7/2021	Adair	White	12
7/6/2021	Adair	White	11
7/5/2021	Adair	White	9
7/4/2021	Adair	White	1
7/3/2021	Adair	White	4
7/2/2021	Adair	White	7
7/1/2021	Adair	White	11
6/30/2021	Adair	White	6
6/29/2021	Adair	White	9
6/28/2021	Adair	White	7
6/27/2021	Adair	White	5
6/26/2021	Adair	White	4
6/25/2021	Adair	White	15
6/24/2021	Adair	White	13
6/23/2021	Adair	White	6
6/22/2021	Adair	White	8
6/21/2021	Adair	White	9
6/20/2021	Adair	White	1
6/19/2021	Adair	White	2
6/18/2021	Adair	White	9
6/17/2021	Adair	White	8
6/16/2021	Adair	White	6
6/15/2021	Adair	White	4
6/14/2021	Adair	White	10
6/13/2021	Adair	White	2
6/12/2021	Adair	White	6
6/11/2021	Adair	White	11
6/10/2021	Adair	White	12
6/9/2021	Adair	White	14
6/8/2021	Adair	White	19
6/7/2021	Adair	White	10
