zip,count
63005,2517
63011,4479
63017,5334
63021,7167
63025,2066
63026,4024
63031,7480
63033,6681
63034,2802
63038,887
63040,1146
63042,2907
63043,3032
63044,1704
63045,NA
63049,256
63069,241
63074,2115
63088,1179
63105,1624
63114,4563
63117,1054
63119,4010
63120,132
63121,3063
63122,5094
63123,7241
63124,1276
63125,4743
63126,2013
63127,817
63128,4450
63129,8319
63130,3091
63131,2433
63132,1653
63133,890
63134,2010
63135,2846
63136,5853
63137,2613
63138,2875
63140,46
63141,2375
63143,921
63144,1137
63146,3729
