date,new_in_pt,in_pt,icu,vent,new_discharge,discharge,confirm_in_pt,probable_in_pt,confirme_icu,probable_icu,confirm_vent,probable_vent,total_beds,icu_beds,mortality
3/28/20,8,,,,,,,,,,,,,,
3/29/20,5,,,,,,,,,,,,,,
3/30/20,45,,,,,,,,,,,,,,
3/31/20,44,,,,,,,,,,,,,,
4/1/20,54,,,,,,,,,,,,,,
4/2/20,60,,,,,,,,,,,,,,
4/3/20,65,,,,,,,,,,,,,,
4/4/20,49,,,,,,,,,,,,,,
4/5/20,55,468,164,139,,,,,,,,,,,
4/6/20,69,545,224,172,,,396,149,,,,,,,
4/7/20,62,586,239,186,,,427,159,,,,,,,
4/8/20,44,586,233,186,,,186,400,,,,,,,
4/9/20,54,611,219,173,,,491,120,,,,,,,
4/10/20,37,584,205,160,,,510,74,,,,,,,
4/11/20,37,592,211,157,,,492,100,,,,,,,
4/12/20,56,607,211,162,,,506,101,,,,,,,
4/13/20,45,634,189,160,,,510,124,,,,,,,
4/14/20,50,702,185,145,,,516,186,,,,,,,
4/15/20,45,707,175,149,,,526,181,,,,,,,
4/16/20,49,687,179,155,,,529,158,,,,,,,
4/17/20,59,684,173,144,,,527,157,,,,,,,
4/18/20,43,683,176,136,,,520,163,,,,,,,
4/19/20,53,659,175,139,,,528,131,,,,,,,
4/20/20,47,757,196,142,,,562,195,,,,,,,
4/21/20,47,750,187,130,,,580,170,,,,,,,
4/22/20,44,685,185,133,,,562,123,,,,,,,
4/23/20,36,694,170,123,,,533,161,,,,,,,
4/24/20,44,701,168,114,,,522,179,,,,,,,
4/25/20,45,652,159,118,48,1082,516,136,,,,,,,
4/26/20,42,652,162,115,15,1117,505,147,,,,,,,
4/27/20,45,690,154,109,50,1167,509,181,,,,,,,
4/28/20,38,678,159,113,42,1209,522,156,,,,,,,
4/29/20,45,702,160,121,51,1260,514,188,,,,,,,
4/30/20,57,685,164,117,60,1320,513,172,,,,,,,
5/1/20,49,654,164,112,,,499,155,,,,,,,
5/2/20,34,656,178,118,,,479,177,,,,,,,
5/3/20,36,660,158,117,24,1422,497,163,,,,,,,
5/4/20,38,653,164,110,41,1463,493,160,,,,,,,
5/5/20,36,673,158,117,45,1508,503,170,,,,,,,
5/6/20,34,630,145,118,45,1553,503,127,,,,,,,
5/7/20,31,596,147,106,56,1609,464,132,,,,,,,
5/8/20,28,506,133,104,,,438,68,,,,,,,
5/9/20,17,540,138,108,15,1663,406,134,,,,,,,
5/10/20,22,505,140,111,11,1674,389,116,,,,,,,
5/11/20,34,492,131,98,37,1711,378,114,,,,,,,
5/12/20,34,531,137,94,34,1745,385,146,,,,,,,
5/13/20,25,513,125,93,39,1784,380,133,,,,,,,
5/14/20,28,488,121,84,43,1827,367,121,,,,,,,
5/15/20,30,464,120,88,37,1864,347,117,,,,,,,
5/16/20,30,456,122,84,16,1880,339,117,,,,,,,
5/17/20,26,467,121,75,12,1892,333,134,,,,,,,
5/18/20,31,487,109,76,32,1924,340,147,,,,,,,
5/19/20,20,455,98,70,34,1958,355,100,,,,,,,
5/20/20,27,436,103,69,38,1996,331,105,,,,,,,
