zip,total_pop
61820,38156
61821,30582
61822,25829
61830,337
61831,134
61832,34918
61833,2199
61834,8778
61839,610
61840,819
61841,1341
61842,2727
61843,2368
61844,715
61845,383
61846,4918
61847,1239
61848,230
61849,1999
61850,418
61851,295
61852,221
61853,13981
61854,1197
61855,104
61856,7884
61857,195
42053,5393
61858,3017
61859,1226
61862,533
61863,806
61864,1719
61865,1560
61866,14296
61870,1320
61871,304
61872,898
61873,6519
61874,8150
61875,818
61876,561
61877,1803
61878,1310
61880,3831
61882,694
42058,2408
42058,2408
42081,1708
62023,117
62024,9916
62025,34313
62027,494
62028,1279
62030,149
62031,749
62032,732
62033,4515
62034,13667
62035,16520
61364,19054
61367,739
61368,1428
61369,1656
61370,1393
61372,161
61373,2134
60463,14926
60464,9715
60465,17473
60466,21989
60467,26628
60468,6044
60469,5780
60470,497
60471,14055
60472,4870
60473,22201
62036,803
62037,2205
62040,42447
62044,2094
62045,429
62046,769
62047,1443
62048,1829
62049,8946
62050,354
61374,118
61375,1157
61376,2118
61377,1421
61378,333
61379,1488
61401,33685
61410,3892
61411,444
61412,1467
61413,906
61414,937
60474,986
60475,9674
60476,2493
60477,37919
60478,17112
60479,934
60480,5370
60481,11540
60482,10916
60484,6580
60487,26588
60490,22202
60491,22961
60501,11854
60502,22622
60503,16973
61415,1889
61416,294
61417,286
61418,542
61419,114
61420,1121
61421,1300
61422,3164
61423,519
61424,135
61425,375
61426,109
61427,2192
60504,38013
60505,77190
60506,54216
60510,29533
60511,1932
60512,1184
60513,18880
60514,10109
60515,28566
61428,1022
61430,677
61431,296
61432,658
61433,107
61434,3012
61435,29
61436,650
61437,972
61438,917
61439,242
61440,690
61441,1001
61442,708
61443,13663
61447,1025
61448,3837
61449,337
61450,1787
61451,331
61452,222
61453,578
61454,500
61455,20698
60002,24066
60004,50915
60005,29539
60007,33420
60008,21833
60010,46087
60012,10958
60013,25827
60651,63218
60652,43907
60653,31972
61236,123
61238,3534
61239,1239
61240,6138
61241,6827
61242,1208
61243,248
61244,23679
61250,2502
61251,337
61252,5341
61254,11004
61256,1962
61257,1198
61258,236
61259,1283
61260,1062
61261,934
61262,1123
60654,19135
60655,28804
60656,27579
60657,70052
60659,41068
60660,43242
60661,9926
60706,23301
60707,43019
60712,12539
60714,29743
60803,22390
60804,83147
60805,19666
60827,28577
60901,35509
60910,671
60911,1308
60912,521
60913,1409
60914,29969
60915,10121
60917,529
61263,743
61264,10621
61265,43706
61270,7007
61272,1198
61273,3243
61274,201
61275,4750
61276,110
61277,3245
62702,34051
62703,30910
62704,40828
60014,48443
60015,27452
60918,777
60919,481
60920,199
60921,1517
60922,2389
60924,1485
60926,35
60927,2106
60928,775
60929,803
60930,925
60931,537
60932,92
60933,312
60934,259
60935,1210
60936,4103
60938,1959
60940,3433
62869,2690
62870,2090
62871,579
61278,479
61279,870
61281,2394
61282,7820
61283,1742
61284,2110
61285,1627
61301,10088
61310,3748
61311,204
61312,511
61313,209
61314,885
61315,213
61316,299
61317,479
61318,845
61319,1434
61320,724
61568,4223
61569,1184
61570,1787
61571,24974
61572,1191
61602,877
61603,16655
61604,30582
61605,15713
61606,7870
61607,10673
61610,5493
61611,24877
61614,28012
53179,7289
53179,7289
61112,66
61114,15591
61115,22574
61201,38385
61230,1121
61231,5213
61232,1229
61234,1267
61235,1519
60941,2180
60942,5871
60945,175
60946,445
60948,1496
60949,535
60950,11803
60951,825
60952,686
60953,2449
60954,5846
60955,1614
60957,5288
60958,1784
60959,1060
60960,1092
60961,725
60962,645
60963,1895
60964,5070
60966,1626
60968,335
62872,1067
62874,415
62875,1253
62876,159
62877,575
62878,443
62879,117
62880,706
61321,248
61322,1454
61323,91
61324,92
61325,970
61326,2297
61327,1326
61328,25
61329,1185
61330,1437
61615,23168
61616,5910
61625,370
53184,4213
61701,35783
61704,37204
61705,12971
61720,201
61721,592
61722,478
61723,2595
61724,494
61725,1703
61726,2427
60969,58
60970,6948
60973,411
60974,294
61001,1042
61006,1905
61007,507
61008,34292
61010,7805
61011,2326
61012,2432
61013,504
61014,1289
61015,1107
61016,4962
61018,1002
61019,3244
61020,3131
61021,23031
61024,2534
61025,4645
61027,77
61028,2051
61030,2302
61031,1541
61032,29896
62881,10842
62882,2387
62883,899
62884,2716
62885,722
62886,280
62887,459
62888,1984
62889,938
60516,29268
60517,32328
61331,18
61332,77
61333,323
61334,732
61335,441
61336,569
61337,393
61338,257
61340,245
61341,7999
61342,8763
61344,376
61345,835
61727,9826
61728,1311
61036,6620
61037,55
61038,1149
61039,1012
61041,959
61042,605
61043,76
61044,277
61046,2451
61047,1839
61048,3876
61049,560
61050,445
61051,1688
61052,821
61053,2612
61054,3674
61057,111
61059,212
61060,1425
61061,6382
61062,1803
61063,4260
61064,3640
61065,10360
61067,752
60518,3543
60519,63
60520,2810
60521,18402
60523,10136
60525,30576
60526,13546
