zip,total_pop
62023,117
62024,9916
62025,34313
62027,494
62028,1279
62030,149
62031,749
62033,4515
62034,13667
62035,16520
62036,803
62037,2205
62040,42447
62044,2094
62045,429
62046,769
62047,1443
62048,1829
62050,354
62875,1253
62882,2387
62626,7710
62630,365
62638,1364
62640,3583
62061,1671
62062,8008
62063,1082
62065,179
62067,2755
62069,3088
62649,604
62070,48
62074,1333
62077,240
62079,244
62081,354
62082,2746
62084,1464
62085,192
62667,445
62672,204
62674,1398
62685,2416
62086,1263
62087,2172
62088,6569
62090,1293
62091,380
62092,2932
62093,477
62690,3991
62095,10455
62097,3064
62098,24
62201,7570
62203,8264
62204,7954
62205,8007
62560,1196
62206,15121
62207,8913
62208,16516
62214,1242
62215,1907
62216,2742
62217,748
62218,1820
62219,954
62220,18302
62221,29949
62223,16309
62225,5128
62226,28666
62230,6279
62231,7436
62232,6705
62234,32426
62236,13757
62239,4715
62240,1727
62243,5795
62244,897
62245,1692
62246,9916
62572,516
62248,391
62249,15507
62250,461
62253,583
62254,6292
62001,1796
62002,31059
62006,490
62009,1814
62010,11357
62012,6426
62013,693
62014,4131
62016,3674
62018,3034
62019,393
62021,920
62022,1060
63147,9932
63386,392
63386,392
62801,21444
62803,1078
62255,1279
62257,2678
62258,9253
62260,7405
62262,1503
62366,1589
62264,3745
62265,4391
62266,87
62269,32029
62271,2153
62273,294
62275,3705
62277,1363
62278,6543
62279,7
62281,2712
62282,406
62284,549
62285,4436
62286,6110
62289,351
62293,4427
62294,14117
62295,1547
62298,16608
62052,12292
62053,626
62054,781
62355,754
62056,8574
62058,757
62059,452
62060,4586
