GEOID,class
29001,5
29003,4
29005,6
29007,5
29009,6
29011,6
29013,2
29015,6
29017,4
29019,4
29021,4
29023,5
29025,2
29027,4
29029,6
29031,4
29033,6
29035,6
29037,2
29039,6
29041,6
29043,3
29045,5
29047,2
29049,2
29051,4
29053,6
29055,6
29057,6
29059,3
29061,6
29063,4
29065,6
29067,6
29069,5
29071,2
29073,6
29075,6
29077,3
29079,6
29081,6
29083,6
29085,6
29087,6
29089,6
29091,5
29093,6
29095,2
29097,4
29099,2
29101,5
29103,6
29105,5
29107,2
29109,6
29111,5
29113,2
29115,6
29117,6
29119,3
29121,6
29123,6
29125,6
29127,5
29129,6
29131,6
29133,6
29135,4
29137,6
29139,6
29141,6
29143,6
29145,4
29147,5
29149,6
29151,4
29153,6
29155,6
29157,6
29159,5
29161,5
29163,6
29165,2
29167,3
29169,5
29171,6
29173,5
29175,5
29177,2
29179,6
29181,6
29183,2
29185,6
29186,6
29187,5
29189,2
29195,5
29197,5
29199,6
29201,5
29203,6
29205,6
29207,6
29209,5
29211,6
29213,5
29215,6
29217,6
29219,2
29221,6
29223,6
29225,3
29227,6
29229,6
29510,1
29511,1
29512,4
