report_date,zip,geoid,county,state,cases,new_cases,case_avg,case_rate,case_avg_rate
2020-04-02,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63069,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63084,29071,Franklin,Missouri,5,1,NA,0.2602540079117219,NA
2020-04-02,63089,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,63090,29071,Franklin,Missouri,5,1,NA,0.22408461435037869,NA
2020-04-02,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-02,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63069,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63084,29071,Franklin,Missouri,5,0,NA,0.2602540079117219,NA
2020-04-03,63089,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,63090,29071,Franklin,Missouri,7,2,NA,0.31371846009053017,NA
2020-04-03,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-03,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63069,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63084,29071,Franklin,Missouri,5,0,NA,0.2602540079117219,NA
2020-04-04,63089,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,63090,29071,Franklin,Missouri,7,0,NA,0.31371846009053017,NA
2020-04-04,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-04,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63069,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63084,29071,Franklin,Missouri,5,0,NA,0.2602540079117219,NA
2020-04-05,63089,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,63090,29071,Franklin,Missouri,11,4,NA,0.4929861515708332,NA
2020-04-05,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-05,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63069,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,63084,29071,Franklin,Missouri,5,0,NA,0.2602540079117219,NA
2020-04-06,63089,29071,Franklin,Missouri,5,1,NA,0.9243852837862822,NA
2020-04-06,63090,29071,Franklin,Missouri,13,2,NA,0.5826199973109846,NA
2020-04-06,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-06,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63069,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,63084,29071,Franklin,Missouri,6,1,NA,0.3123048094940662,NA
2020-04-07,63089,29071,Franklin,Missouri,5,0,NA,0.9243852837862822,NA
2020-04-07,63090,29071,Franklin,Missouri,30,17,NA,1.3445076861022722,NA
2020-04-07,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-07,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63069,29071,Franklin,Missouri,5,2,NA,0.7072135785007072,NA
2020-04-08,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,63084,29071,Franklin,Missouri,6,0,NA,0.3123048094940662,NA
2020-04-08,63089,29071,Franklin,Missouri,5,0,NA,0.9243852837862822,NA
2020-04-08,63090,29071,Franklin,Missouri,33,3,NA,1.4789584547124994,NA
2020-04-08,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-08,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63069,29071,Franklin,Missouri,6,1,NA,0.8486562942008486,NA
2020-04-09,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63077,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,63084,29071,Franklin,Missouri,6,0,NA,0.3123048094940662,NA
2020-04-09,63089,29071,Franklin,Missouri,5,0,NA,0.9243852837862822,NA
2020-04-09,63090,29071,Franklin,Missouri,37,4,NA,1.6582261461928025,NA
2020-04-09,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-09,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63069,29071,Franklin,Missouri,6,0,NA,0.8486562942008486,NA
2020-04-10,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63077,29071,Franklin,Missouri,5,1,NA,0.4497211728728189,NA
2020-04-10,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,63084,29071,Franklin,Missouri,7,1,NA,0.36435561107641057,NA
2020-04-10,63089,29071,Franklin,Missouri,5,0,NA,0.9243852837862822,NA
2020-04-10,63090,29071,Franklin,Missouri,45,8,NA,2.0167615291534084,NA
2020-04-10,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-10,65441,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63013,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63014,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63015,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63037,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63039,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63041,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63055,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63056,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63060,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63061,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63068,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63069,29071,Franklin,Missouri,6,0,NA,0.8486562942008486,NA
2020-04-11,63072,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63073,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63077,29071,Franklin,Missouri,5,0,NA,0.4497211728728189,NA
2020-04-11,63079,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63080,29071,Franklin,Missouri,NA,NA,NA,NA,NA
2020-04-11,63084,29071,Franklin,Missouri,7,0,NA,0.36435561107641057,NA
2020-04-11,63089,29071,Franklin,Missouri,5,0,NA,0.9243852837862822,NA
2020-04-11,63090,29071,Franklin,Missouri,45,0,NA,2.0167615291534084,NA
2020-04-11,63091,29071,Franklin,Missouri,NA,NA,NA,NA,NA
