report_date,zip,cases
2020-10-27,60002,340
2020-10-27,60004,937
2020-10-27,60005,622
2020-10-27,60007,787
2020-10-27,60008,786
2020-10-27,60009,8
2020-10-27,60010,757
2020-10-27,60012,203
2020-10-27,60013,394
2020-10-27,60014,NA
2020-10-27,60015,539
2020-10-27,60016,NA
2020-10-27,60018,NA
2020-10-27,60020,184
2020-10-27,60021,74
2020-10-27,60022,105
2020-10-27,60025,923
2020-10-27,60026,321
2020-10-27,60029,23
2020-10-27,60030,625
2020-10-27,60031,927
2020-10-27,60033,566
2020-10-27,60034,35
2020-10-27,60035,558
2020-10-27,60040,277
2020-10-27,60041,182
2020-10-27,60042,139
2020-10-27,60043,50
2020-10-27,60044,235
2020-10-27,60045,299
2020-10-27,60046,693
2020-10-27,60047,973
2020-10-27,60048,492
2020-10-27,60050,587
2020-10-27,60051,396
2020-10-27,60053,647
2020-10-27,60056,NA
2020-10-27,60060,963
2020-10-27,60061,459
2020-10-27,60062,764
2020-10-27,60064,NA
2020-10-27,60067,905
2020-10-27,60068,815
2020-10-27,60069,192
2020-10-27,60070,495
2020-10-27,60071,74
2020-10-27,60072,11
2020-10-27,60073,NA
2020-10-27,60074,NA
2020-10-27,60076,NA
2020-10-27,60077,743
2020-10-27,60079,16
2020-10-27,60081,180
2020-10-27,60083,254
2020-10-27,60084,347
2020-10-27,60085,NA
2020-10-27,60087,NA
2020-10-27,60088,573
2020-10-27,60089,699
2020-10-27,60090,NA
2020-10-27,60091,415
2020-10-27,60093,387
2020-10-27,60096,156
2020-10-27,60097,189
2020-10-27,60098,902
2020-10-27,60099,NA
2020-10-27,60101,NA
2020-10-27,60102,736
2020-10-27,60103,NA
2020-10-27,60104,772
2020-10-27,60106,908
2020-10-27,60107,NA
2020-10-27,60108,765
2020-10-27,60109,21
2020-10-27,60110,NA
2020-10-27,60112,125
2020-10-27,60113,8
2020-10-27,60115,NA
2020-10-27,60118,332
2020-10-27,60119,197
2020-10-27,60120,NA
2020-10-27,60121,6
2020-10-27,60123,NA
2020-10-27,60124,535
