report_date,zip,region,state,cases,case_rate
2020-12-14,64014,Kansas City Metro,Missouri,1393,55.39207889295371
2020-12-15,64014,Kansas City Metro,Missouri,1411,56.10784157785907
2020-12-16,64014,Kansas City Metro,Missouri,1427,56.74407507555273
2020-12-17,64014,Kansas City Metro,Missouri,1427,56.74407507555273
2020-12-18,64014,Kansas City Metro,Missouri,1456,57.89724829012248
2020-12-19,64014,Kansas City Metro,Missouri,1456,57.89724829012248
2020-12-20,64014,Kansas City Metro,Missouri,1456,57.89724829012248
2020-12-21,64014,Kansas City Metro,Missouri,1482,58.93112772387466
2020-12-22,64014,Kansas City Metro,Missouri,1494,59.408302847144896
2020-12-23,64014,Kansas City Metro,Missouri,1514,60.20359471926197
2020-12-24,64014,Kansas City Metro,Missouri,1532,60.91935740416733
2020-12-25,64014,Kansas City Metro,Missouri,1532,60.91935740416733
2020-12-26,64014,Kansas City Metro,Missouri,1532,60.91935740416733
2020-12-27,64014,Kansas City Metro,Missouri,1532,60.91935740416733
2020-12-28,64014,Kansas City Metro,Missouri,1565,62.231588993160486
2020-12-29,64014,Kansas City Metro,Missouri,1581,62.86782249085414
2020-12-30,64014,Kansas City Metro,Missouri,1606,63.86193733100047
2020-12-31,64014,Kansas City Metro,Missouri,1606,63.86193733100047
2021-01-01,64014,Kansas City Metro,Missouri,1624,64.57770001590583
2021-01-02,64014,Kansas City Metro,Missouri,1624,64.57770001590583
2021-01-03,64014,Kansas City Metro,Missouri,1624,64.57770001590583
2021-01-04,64014,Kansas City Metro,Missouri,1684,66.96357563225703
2021-01-05,64014,Kansas City Metro,Missouri,1711,68.03721965961508
2021-01-06,64014,Kansas City Metro,Missouri,1742,69.26992206139654
2021-01-07,64014,Kansas City Metro,Missouri,1756,69.82662637187848
2021-01-08,64014,Kansas City Metro,Missouri,1756,69.82662637187848
2021-01-09,64014,Kansas City Metro,Missouri,1756,69.82662637187848
2020-12-14,64015,Kansas City Metro,Missouri,1559,49.93753803773343
2020-12-15,64015,Kansas City Metro,Missouri,1571,50.32191934398924
2020-12-16,64015,Kansas City Metro,Missouri,1582,50.67426887472372
