report_date,zip,geoid,county,state,cases,new_cases,case_avg,case_rate,case_avg_rate
2020-07-14,63301,29183,St. Charles,Missouri,355,NA,NA,7.005426739023187,NA
2020-07-14,63303,29183,St. Charles,Missouri,253,NA,NA,5.281175635619755,NA
2020-07-14,63304,29183,St. Charles,Missouri,207,NA,NA,5.015020835352263,NA
2020-07-14,63341,29183,St. Charles,Missouri,12,NA,NA,3.276003276003276,NA
2020-07-14,63348,29183,St. Charles,Missouri,16,NA,NA,3.0303030303030303,NA
2020-07-14,63366,29183,St. Charles,Missouri,231,NA,NA,4.655287076036355,NA
2020-07-14,63367,29183,St. Charles,Missouri,106,NA,NA,4.375103186395906,NA
2020-07-14,63368,29183,St. Charles,Missouri,195,NA,NA,4.163197335553705,NA
2020-07-14,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-14,63376,29183,St. Charles,Missouri,354,NA,NA,4.754996776273372,NA
2020-07-14,63385,29183,St. Charles,Missouri,128,NA,NA,2.9334922308291698,NA
2020-07-14,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-15,63301,29183,St. Charles,Missouri,370,15,NA,7.301430685742477,NA
2020-07-15,63303,29183,St. Charles,Missouri,267,14,NA,5.573414603598714,NA
2020-07-15,63304,29183,St. Charles,Missouri,216,9,NA,5.233065219498013,NA
2020-07-15,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-15,63341,29183,St. Charles,Missouri,13,1,NA,3.549003549003549,NA
2020-07-15,63348,29183,St. Charles,Missouri,16,0,NA,3.0303030303030303,NA
2020-07-15,63366,29183,St. Charles,Missouri,247,16,NA,4.977731202515065,NA
2020-07-15,63367,29183,St. Charles,Missouri,113,7,NA,4.6640250949314845,NA
2020-07-15,63368,29183,St. Charles,Missouri,208,13,NA,4.440743824590619,NA
2020-07-15,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-15,63376,29183,St. Charles,Missouri,373,19,NA,5.010208467655276,NA
2020-07-15,63385,29183,St. Charles,Missouri,139,11,NA,3.1855892194160518,NA
2020-07-15,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-16,63301,29183,St. Charles,Missouri,377,7,NA,7.439565860878146,NA
2020-07-16,63303,29183,St. Charles,Missouri,279,12,NA,5.823905147580678,NA
2020-07-16,63304,29183,St. Charles,Missouri,219,3,NA,5.30574668087993,NA
2020-07-16,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-16,63341,29183,St. Charles,Missouri,16,3,NA,4.368004368004368,NA
2020-07-16,63348,29183,St. Charles,Missouri,17,1,NA,3.2196969696969697,NA
2020-07-16,63366,29183,St. Charles,Missouri,254,7,NA,5.1188005078495,NA
2020-07-16,63367,29183,St. Charles,Missouri,115,2,NA,4.746574211655935,NA
2020-07-16,63368,29183,St. Charles,Missouri,212,4,NA,4.526142744294285,NA
2020-07-16,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-16,63376,29183,St. Charles,Missouri,380,7,NA,5.104233827638083,NA
2020-07-16,63385,29183,St. Charles,Missouri,151,12,NA,3.4606041160562864,NA
2020-07-16,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-17,63301,29183,St. Charles,Missouri,387,10,NA,7.636901825357672,NA
2020-07-17,63303,29183,St. Charles,Missouri,283,4,NA,5.907401995574667,NA
2020-07-17,63304,29183,St. Charles,Missouri,222,3,NA,5.378428142261847,NA
2020-07-17,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-17,63341,29183,St. Charles,Missouri,16,0,NA,4.368004368004368,NA
2020-07-17,63348,29183,St. Charles,Missouri,18,1,NA,3.4090909090909087,NA
2020-07-17,63366,29183,St. Charles,Missouri,264,10,NA,5.320328086898693,NA
2020-07-17,63367,29183,St. Charles,Missouri,117,2,NA,4.829123328380387,NA
2020-07-17,63368,29183,St. Charles,Missouri,218,6,NA,4.654241123849784,NA
2020-07-17,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-17,63376,29183,St. Charles,Missouri,390,10,NA,5.238555770470665,NA
2020-07-17,63385,29183,St. Charles,Missouri,157,6,NA,3.5981115643764037,NA
2020-07-17,63386,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-18,63301,29183,St. Charles,Missouri,395,8,NA,7.794770596941293,NA
2020-07-18,63303,29183,St. Charles,Missouri,292,9,NA,6.095269903561141,NA
2020-07-18,63304,29183,St. Charles,Missouri,234,12,NA,5.669153987789515,NA
2020-07-18,63332,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-18,63341,29183,St. Charles,Missouri,17,1,NA,4.641004641004641,NA
2020-07-18,63348,29183,St. Charles,Missouri,21,3,NA,3.977272727272727,NA
2020-07-18,63366,29183,St. Charles,Missouri,273,9,NA,5.501702908042965,NA
2020-07-18,63367,29183,St. Charles,Missouri,124,7,NA,5.1180452369159655,NA
2020-07-18,63368,29183,St. Charles,Missouri,220,2,NA,4.696940583701616,NA
2020-07-18,63373,29183,St. Charles,Missouri,NaN,NaN,NA,NaN,NA
2020-07-18,63376,29183,St. Charles,Missouri,410,20,NA,5.5071996561358265,NA
